Rank,Top_Category,Boruta_Feature,Boruta_Score,RFE_Feature,RFE_Score,Correlation_Feature,Correlation_Score,ContrastFS_Feature,ContrastFS_Score
1,Top10,URLSimilarityIndex,0.216753,LineOfCode,499,URLSimilarityIndex,0.860443,URLSimilarityIndex,1
2,Top10,LineOfCode,0.154901,LargestLineLength,471,HasSocialNet,0.783682,HasSocialNet,0.570522
3,Top10,NoOfExternalRef,0.115893,NoOfExternalRef,277,HasCopyrightInfo,0.74282,HasCopyrightInfo,0.456686
4,Top10,NoOfSelfRef,0.093042,URLCharProb,269,HasDescription,0.690587,HasDescription,0.331348
5,Top10,NoOfJS,0.056995,LetterRatioInURL,242,has_no_www,0.668396,has_no_www,0.303484
6,Top10,HasDescription,0.055622,SpacialCharRatioInURL,180,IsHTTPS,0.6129,IsHTTPS,0.225578
7,Top10,NoOfImage,0.047761,IsHTTPS,161,DomainTitleMatchScore,0.583463,HasSubmitButton,0.187544
8,Top10,HasSocialNet,0.035257,URLLength,128,HasSubmitButton,0.578994,DomainTitleMatchScore,0.18724
9,Top10,NoOfCSS,0.032141,NoOfJS,104,IsResponsive,0.548483,IsResponsive,0.164746
10,Top10,HasCopyrightInfo,0.030206,URLSimilarityIndex,102,URLTitleMatchScore,0.538363,URLTitleMatchScore,0.145716
11,Top15,has_no_www,0.02023,NoOfCSS,92,SpacialCharRatioInURL,0.533748,SpacialCharRatioInURL,0.136555
12,Top15,LargestLineLength,0.019679,URL_Profanity_Prob,85,HasHiddenFields,0.507307,HasHiddenFields,0.122398
13,Top15,IsHTTPS,0.019369,NoOfLettersInURL,85,HasFavicon,0.493375,num_slashes,0.112155
14,Top15,num_slashes,0.016156,NoOfSelfRef,79,num_slashes,0.479851,HasFavicon,0.112077
15,Top15,DomainTitleMatchScore,0.015589,NoOfSubDomain,63,URLCharProb,0.470242,URLCharProb,0.099307
16,Top20,NoOfOtherSpecialCharsInURL,0.015196,NoOfEmptyRef,40,CharContinuationRate,0.467198,CharContinuationRate,0.098041
17,Top20,NoOfiFrame,0.012101,NoOfImage,36,HasTitle,0.45989,HasTitle,0.097084
18,Top20,SpacialCharRatioInURL,0.00855,CharContinuationRate,19,DegitRatioInURL,0.432309,DegitRatioInURL,0.085663
19,Top20,URLContent_NumberOf_Profanity,0.003671,HasDescription,16,Robots,0.393578,NoOfCSS,0.071919
20,Top20,NoOfDegitsInURL,0.003539,URLContent_Profanity_Prob,14,LetterRatioInURL,0.368522,Robots,0.063701
