iter	Logloss
0	0.02513418746
1	0.002195757469
2	0.0005610032291
3	0.0003175121973
4	0.0002374882517
5	0.0002027877834
6	0.0001500029267
7	0.0001500029267
8	0.0001500029267
9	0.0001500029267
10	0.0001500029267
11	0.0001364247513
12	0.0001251323746
13	0.0001249116261
14	0.0001249236111
15	0.0001249236111
16	0.0001250095954
17	0.0001250095954
18	9.899938169e-05
19	7.527656623e-05
20	7.527656623e-05
21	7.47641251e-05
22	7.503989122e-05
23	7.503989122e-05
24	7.530848687e-05
25	7.519208977e-05
26	7.493142925e-05
27	7.451060029e-05
28	6.990464691e-05
29	6.391388687e-05
30	6.506328811e-05
31	6.422685802e-05
32	6.339758039e-05
33	6.386872585e-05
34	6.377840855e-05
35	6.336310824e-05
36	6.32222343e-05
37	6.385199013e-05
38	6.325353214e-05
39	6.391817183e-05
40	6.346173542e-05
41	6.387612635e-05
42	6.33849511e-05
43	6.358534121e-05
44	6.365339571e-05
45	6.351892189e-05
46	6.366718969e-05
47	6.349345698e-05
48	6.395106599e-05
49	6.368215405e-05
50	6.342393635e-05
51	6.365442264e-05
52	6.346315795e-05
53	6.383859017e-05
54	6.316260627e-05
55	6.3405622e-05
56	6.274050929e-05
57	6.274050929e-05
58	6.267610369e-05
59	6.341434234e-05
60	6.373649609e-05
61	6.267168697e-05
62	6.285445946e-05
63	6.310306419e-05
64	6.352950775e-05
65	6.295224709e-05
66	6.309711845e-05
67	6.309711845e-05
68	6.283075076e-05
69	6.299535425e-05
70	6.267445587e-05
71	6.26179023e-05
72	6.311485835e-05
73	6.316768244e-05
74	6.275616943e-05
75	6.275616943e-05
76	6.288260196e-05
77	6.251837901e-05
78	6.309543461e-05
79	6.324719522e-05
80	6.281825165e-05
81	6.261229529e-05
82	6.265653745e-05
83	6.273127044e-05
84	6.301445886e-05
85	6.234907946e-05
86	6.237668701e-05
87	6.232637019e-05
88	6.229049258e-05
89	6.251930862e-05
90	6.251930862e-05
91	6.208170033e-05
92	6.208170033e-05
93	6.226804842e-05
94	6.187720757e-05
95	6.235685724e-05
96	6.235332778e-05
97	6.203263288e-05
98	6.203263288e-05
99	6.203263288e-05
100	6.203263288e-05
101	6.203263288e-05
102	6.203263288e-05
103	6.203263288e-05
104	6.203263288e-05
105	6.203263288e-05
106	6.203263288e-05
107	6.203263288e-05
108	6.203263288e-05
109	6.203263288e-05
110	6.203263288e-05
111	6.203263288e-05
112	6.203263288e-05
113	6.203263288e-05
114	6.203263288e-05
115	6.203263288e-05
116	6.203263288e-05
117	6.203263288e-05
118	6.203263288e-05
119	6.203263288e-05
120	6.203263288e-05
121	6.203263288e-05
122	6.203263288e-05
123	6.203263288e-05
124	6.203263288e-05
125	6.203263288e-05
126	6.203263288e-05
127	6.203263288e-05
128	6.203263288e-05
129	6.203263288e-05
130	6.203263288e-05
131	6.203263288e-05
132	6.203263288e-05
133	6.203263288e-05
134	6.203263288e-05
135	6.203263288e-05
136	6.203263288e-05
137	6.203263288e-05
138	6.203263288e-05
139	6.203263288e-05
140	6.203263288e-05
141	6.203263288e-05
142	6.203263288e-05
143	6.203263288e-05
144	6.203263288e-05
145	6.203263288e-05
146	6.203263288e-05
147	6.203263288e-05
148	6.203263288e-05
149	6.203263288e-05
150	6.203263288e-05
151	6.203263288e-05
152	6.203263288e-05
153	6.203263288e-05
154	6.203263288e-05
155	6.203263288e-05
156	6.203263288e-05
157	6.203263288e-05
158	6.203263288e-05
159	6.203263288e-05
160	6.203263288e-05
161	6.203263288e-05
162	6.203263288e-05
163	6.203263288e-05
164	6.203263288e-05
165	6.203263288e-05
166	6.203263288e-05
167	6.203263288e-05
168	6.203263288e-05
169	6.203263288e-05
170	6.203263288e-05
171	6.203263288e-05
172	6.203263288e-05
173	6.203263288e-05
174	6.203263288e-05
175	6.203263288e-05
176	6.203263288e-05
177	6.203263288e-05
178	6.203263288e-05
179	6.203263288e-05
180	6.203263288e-05
181	6.203263288e-05
182	6.203263288e-05
183	6.203263288e-05
184	6.203263288e-05
185	6.203263288e-05
186	6.203263288e-05
187	6.203263288e-05
188	6.203263288e-05
189	6.203263288e-05
190	6.203263288e-05
191	6.203263288e-05
192	6.203263288e-05
193	6.203263288e-05
194	6.203263288e-05
195	6.203263288e-05
196	6.203263288e-05
197	6.203263288e-05
198	6.203263288e-05
199	6.203263288e-05
